id,name,path,mime_type,issue_type,severity,description
1Rmdf4ZNeRrQVQWrwqTDpBzO0Cfyu-ORzSG6TaZHUAAc,2024-07-21 - SureMembers vs Wishlist Members quelle extension choisir - Article - FR,2024-07-21 - SureMembers vs Wishlist Members quelle extension choisir - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1f-jtMNuEKmWZXfQJ80UAxXz2ianBHicgFkB8bXNQ_5E,2024-10-21 - Tunnel de vente WordPress guide complet pour optimiser vos conversions - Article - FR,2024-10-21 - Tunnel de vente WordPress guide complet pour optimiser vos conversions - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1b3EboNZiDT0Ar_CoGOqRY5aaAqaAPCVCnghJesSMQng,2024-12-10 - What is a WordPress plugin and how to use it effectively - Article - FR,2024-12-10 - What is a WordPress plugin and how to use it effectively - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
196NCzvQfhiFyj3ObSs_7qlS1sEFikyT2Wh_ZuqUZ1Ik,2023-11-10 - Qu’est-ce que le plugin Divi BodyCommerce - Article - FR,2023-11-10 - Qu’est-ce que le plugin Divi BodyCommerce - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1xeSursEBbjFXjWvMko7gx4twDlSy01oYWwk1O2KaBAE,2023-11-10 - Tout ce que vous devez savoir sur BuddyBoss - Article - FR,2023-11-10 - Tout ce que vous devez savoir sur BuddyBoss - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1UbJJUfUavu-d_Si1e_iuzInjU-UNhxP7kGBbJP2sQZM,"2023-10-26 - Divi ToolBox, ce qu’il faut savoir sur ce plug in WordPress - Article - FR","2023-10-26 - Divi ToolBox, ce qu’il faut savoir sur ce plug in WordPress - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1GNlLQQhW38CGvlstFyxFx9Ngflk8oR3p0Q1M-GKNrEM,2023-11-24 - Fluent Support - Le Plugin Incontournable pour le Support Client sur WordPress - Article - FR,2023-11-24 - Fluent Support - Le Plugin Incontournable pour le Support Client sur WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1zX3mIiEPDdhsftiv965s9y9KCuBwqesg9dp56dnug9E,2023-11-24 - AIOSEO Le Plugin All in One SEO Ultime pour WordPress - Article - FR,2023-11-24 - AIOSEO Le Plugin All in One SEO Ultime pour WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1BzBU2gto-SIP1K2hLsB32Iw2ADsIpUFIsw9HoXqz3_8,2023-11-24 - ClickWhale - Article - FR,2023-11-24 - ClickWhale - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1x3RRCqIwoailKJF92EM4GpfT289XAl9wrZmthNDiFbY,2023-11-24 - Manychat le Chatbot Messenger de Facebook - Article - FR,2023-11-24 - Manychat le Chatbot Messenger de Facebook - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1yByAbEJSUr0kPPBFKqZIUhj-3RWSiR6LidzTWjKFnBE,"2023-11-24 - SureCart, le plugin qui concurrence WooCommerce - Article - FR","2023-11-24 - SureCart, le plugin qui concurrence WooCommerce - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1WTrbazg2Gpq-X-k9vo2QyGeILcxSa-FhUfsU_Jd7c9k,2023-11-24 - Tout ce que vous devez savoir sur Webflow - Article - FR,2023-11-24 - Tout ce que vous devez savoir sur Webflow - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1JzHbYnh5WzjyGSrwCTtSiMCwyE8bMCFSsSo8w7Ia1tw,2023-11-24 - Solid Affiliate - Le Top Plugin d’affiliation pour WordPress - Article - FR,2023-11-24 - Solid Affiliate - Le Top Plugin d’affiliation pour WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1BToRCEdqsUHfMdTJCRWrSBFFaCzDwxcKtfNa3nafTZI,2023-11-22 - BeFreelancr La plateforme pour acheter et vendre des services en ligne - Article - FR,2023-11-22 - BeFreelancr La plateforme pour acheter et vendre des services en ligne - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1OlKghrDW9wI-aDWpCCtjzHEx5kfswezNDuKRa-R9eco,"2023-11-24 - WishList Member, tout savoir sur ce plugin WordPress - Article - FR","2023-11-24 - WishList Member, tout savoir sur ce plugin WordPress - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1VGUGcTzEtNjbkMDQNKAHrOFao-NTxKDUhziHKEzblgw,2023-11-24 - Tout ce que vous devez savoir sur LaunchFlows - Article - FR,2023-11-24 - Tout ce que vous devez savoir sur LaunchFlows - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1rXDu1FRXq-3TGkXvihbQs2l8UmyAH58NXLNLB9Bec3E,"2023-11-24 - WooFunnels Autonami, le CRM pour gagner toujours plus de clients - Article - FR","2023-11-24 - WooFunnels Autonami, le CRM pour gagner toujours plus de clients - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1uy0qwAel7QtInFYmRE9t5HZ_FZ7R7aJ6vZV9hgZ84Yk,2023-11-21 - Top 3 des addons Elementor - Article - FR,2023-11-21 - Top 3 des addons Elementor - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1FY37XW1AIxUh8GDgBTvnXssDvWiej_R5t-lD8CxtHtE,2023-11-21 - Spotlight Social Media Feeds - Article - FR,2023-11-21 - Spotlight Social Media Feeds - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1m3e3phZXeO74v3t_jgzophrvyLyC_7CUUDq-UaOPdjw,2023-11-22 - Gagner de l’argent avec l’affiliation sur votre site WordPress - Article - FR,2023-11-22 - Gagner de l’argent avec l’affiliation sur votre site WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1f8toJqU9DlLpG8WLARMEOiBkUbQFpFN-6Of_muFYNDQ,2023-11-21 - AAWP - Le meilleur plugin pour des sites de niche WordPress - Article - FR,2023-11-21 - AAWP - Le meilleur plugin pour des sites de niche WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1uW6tNU-ptlh3hnLW000gz9sAOUbgUVrsNiW8w_7J2cQ,2023-11-13 - Ce que je pense de Divi Pixel - Article - FR,2023-11-13 - Ce que je pense de Divi Pixel - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1CffgAPe1cMn_dXx8YlgNKVRs_fcX38SE_-ZAUpPBP9c,"2023-11-14 - Jungle Scout, l’outil pour booster vos ventes sur Amazon - Article - FR","2023-11-14 - Jungle Scout, l’outil pour booster vos ventes sur Amazon - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1kObNFmf24S4mXdC7KAG7GWdPeT59JiVasZPrDNjxgNo,2023-11-13 - Qu’est-ce que le pixel Facebook et comment l’installer - Article - FR,2023-11-13 - Qu’est-ce que le pixel Facebook et comment l’installer - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1MlJp9bK4Z7UYORhZYJHpuy3spJz7hFkdVmpU8UVV8hw,2023-11-13 - Mon avis sur Kadence WP - Article - FR,2023-11-13 - Mon avis sur Kadence WP - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1Ao8CL-BkQwIh3zIdmxXGhXs0nTKJHmzN5vQVT-Izacc,2023-11-13 - On vous dit tout sur Google Web Stories pour WordPress - Article - FR,2023-11-13 - On vous dit tout sur Google Web Stories pour WordPress - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1WhILuXJLE3LaFI4gedrTyWBUUzxcNA0FK7wAfe4Sn9g,"2023-11-13 - Groundhogg, la marmotte qui va vous simplifier la vie - Article - FR","2023-11-13 - Groundhogg, la marmotte qui va vous simplifier la vie - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1sdB84csafMbwImytHqp0YQ_11FoHq7BjeDo8rioMF7k,2023-11-13 - Zoom sur Divi - Article - FR,2023-11-13 - Zoom sur Divi - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1yX9kPuQicj0j097P77xaLxe8Fa-WY-opx5nKk1Qxkuc,2023-11-12 - On vous dit tout sur le plugin Elementor - Article - FR,2023-11-12 - On vous dit tout sur le plugin Elementor - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1uQ68PUEE5LLxfvJbFWLLlumMP7YnKgoMdfnZFpqSzTc,2023-11-10 - Ce qu’il faut savoir sur la plateforme 5euros - Article - FR,2023-11-10 - Ce qu’il faut savoir sur la plateforme 5euros - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1nTERNpN2R33Q-bAjub6Eeg_jkM6INEVpPeSZ0kkPkhc,"2023-11-13 - Fiverr, zoom sur la plateforme qui permet de trouver des freelances - Article - FR","2023-11-13 - Fiverr, zoom sur la plateforme qui permet de trouver des freelances - Article - FR",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1e9gUwA9g_D9mVUSlSBsUrJT1CriCaXagHwOw0LXMPvg,2023-11-13 - Pourquoi utiliser WordPress Multisite - Article - FR,2023-11-13 - Pourquoi utiliser WordPress Multisite - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1UTQtLj0KD8wzBTFDyR8fYCkLiNmik-8ah9o_vPEUIE0,2023-11-24 - Barn2 Plugins - Des plugins pour booster ses performances sur WooCommerce - Article - FR,2023-11-24 - Barn2 Plugins - Des plugins pour booster ses performances sur WooCommerce - Article - FR,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1gnVZX-3Vs_YshROpkMGuCOvDDnC6Mm9tuNvuxjnFrXg,2024-12-10 - SureForms AI-Powered WordPress Forms Plugin - Article - EN,2024-12-10 - SureForms AI-Powered WordPress Forms Plugin - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1lHVarc8hKE-8doe-cqwa64rQ1XB0Wz5tT8Gwhec_8go,2024-10-22 - FluentBoards Find out all about this project management plugin for WordPress - Article - EN,2024-10-22 - FluentBoards Find out all about this project management plugin for WordPress - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1Ua4WQmhYiq8TccyrGejgEFMmU7SqvH59IOku_kiXkjQ,2024-10-22 - SureMembers vs Restrict Content Pro comparison of membership plugins - Article - EN,2024-10-22 - SureMembers vs Restrict Content Pro comparison of membership plugins - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1_3oOdbxL6TM9SARfrd8bDBZg4MSGZkhNCyN4vJwR1Vs,2024-12-20 - WPBoutik reinvents e-commerce on WordPress - Article - EN,2024-12-20 - WPBoutik reinvents e-commerce on WordPress - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1-yo7DtWJgEBrkyVgixLSAD6qqiuctZd_yGL7W4l0wiA,2024-12-03 - Suremembers Discover the Best Membership Plugin for WordPress - Article - EN,2024-12-03 - Suremembers Discover the Best Membership Plugin for WordPress - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1etyMh24t0rSQ_Ow0cAN8tN5xJ7LdeOoUV3Xlo92K_K4,2024-11-30 - A slug in WordPress what is it and how can I optimize it - Article - EN,2024-11-30 - A slug in WordPress what is it and how can I optimize it - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1r_-GIQ5i-7YTBeHdJXG-dfZ9HKi3iwXUErQdtrGKyxI,2024-11-12 - Opinions on Linkuma is it the benchmark for netlinking - Article - EN,2024-11-12 - Opinions on Linkuma is it the benchmark for netlinking - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1oaH4vARgSPOnk64PMyLCYmP4JA-H6sBPb0A1uq5yTGM,"2024-11-08 - SEOKEY, the essential SEO plugin for WordPress - Article - EN","2024-11-08 - SEOKEY, the essential SEO plugin for WordPress - Article - EN",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1b-HdQ7b7FxsWKjxuNWZlnePBQ7LvJI74CtZHQ4HvYV4,2024-11-07 - TasteWP Discover how to easily create your WordPress website - Article - EN,2024-11-07 - TasteWP Discover how to easily create your WordPress website - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1loSr5BY7viYnQdQRTKrixr3mvHpZbsUFltF07rWO3M8,2024-10-25 - ZipWP vs - Article - EN,2024-10-25 - ZipWP vs - Article - EN,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1f4PZDoLmO6tQvZTxuhcqaCq2D9TzxUxACg-M8ChWWQk,2024-10-22 - SureMembers vs - Article - DE,2024-10-22 - SureMembers vs - Article - DE,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1W895_wdHcHu0Cs2SwOPrZGDIyQQUBxyJNwpEueQXT74,2024-12-20 - WPBoutik erfindet den Online-Handel mit WordPress neu - Article - DE,2024-12-20 - WPBoutik erfindet den Online-Handel mit WordPress neu - Article - DE,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
15T0YjfNOltgZqOxZtqav-4FHaFI4ab4Gl66ZFq0ikbI,2024-12-16 - WordPress Playground Was ist das und wie verwende ich es - Article - DE,2024-12-16 - WordPress Playground Was ist das und wie verwende ich es - Article - DE,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1ZKpUp1HmGdvQOu5hKoufwnrR08iy0a_avcIKjjYIfu4,2024-12-10 - Was ein WordPress-Plugin ist und wie man es effektiv nutzt - Article - DE,2024-12-10 - Was ein WordPress-Plugin ist und wie man es effektiv nutzt - Article - DE,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1LG4pUfeQYtOVho2yZRFy5t57kbOTCJtiEyoZkA78-ig,2024-12-09 - Was ist die Erstellung einer maßgeschneiderten WordPress-Website und welche V... - Article - DE,2024-12-09 - Was ist die Erstellung einer maßgeschneiderten WordPress-Website und welche V... - Article - DE,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1-eB1rjSWKG5ir7cPdyxTVxMgkAsjKBVlhTb_RI9GECo,2024-11-14 - SureForms KI-gespeistes WordPress-Formular-Plugin - Article - DE,2024-11-14 - SureForms KI-gespeistes WordPress-Formular-Plugin - Article - DE,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1sewD84uRfWiV-o8sDw5mmr-3UMNFvsx9epuP3OFvw4s,2024-11-30 - Ein Slug in WordPress Was ist das und wie kann man ihn optimieren - Article - DE,2024-11-30 - Ein Slug in WordPress Was ist das und wie kann man ihn optimieren - Article - DE,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1vRBDSldpOwXNcMfDFYVbkuCigGVGgz0aeMPFvrm4ikM,"2024-11-07 - TasteWP Erfahren Sie, wie Sie Ihre WordPress-Website einfach erstellen konnen - Article - DE","2024-11-07 - TasteWP Erfahren Sie, wie Sie Ihre WordPress-Website einfach erstellen konnen - Article - DE",application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1STv4RMtMu4X46zlh3IMlloT3Z9iXhDjvwqqBmenlKeY,2023-03-06 - Impact IM Contenu IA et SEO - SEO,2023-03-06 - Impact IM Contenu IA et SEO - SEO,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1x7i9BSfuKGrYoipdcj_Ckha5QIjwTEwdN7zXQnPp7oQ,2023-08-14 - AIOSEO Le Plugin All in One SEO Ultime pour WordPress - SEO,2023-08-14 - AIOSEO Le Plugin All in One SEO Ultime pour WordPress - SEO,application/vnd.google-apps.document,mixed_separators,medium,"Melange espaces, tirets et underscores"
1ZlpW0WSZZPnymYi7b4Y4w0Xjgb-8qMOSdguHdD802m0,2025-09-09 - Formation TBL Informations SEO et WordPress by Cyril Jouault - SEO,2025-09-09 - Formation TBL Informations SEO et WordPress by Cyril Jouault - SEO,application/vnd.google-apps.spreadsheet,mixed_separators,medium,"Melange espaces, tirets et underscores"
1oXpDPi-d6sEQUwHPHwV34z5tA1QB4d95,2025-12-29 - Keywords formation wordpress - SEO.xlsx,2025-12-29 - Keywords formation wordpress - SEO.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,mixed_separators,medium,"Melange espaces, tirets et underscores"
1oJs6LaN8AFylgWGe88y9Tq6Z-IW8I7v4,2025-03-10 - Link-finder-optimize-netlinking-strategy - SEO.jpg,2025-03-10 - Link-finder-optimize-netlinking-strategy - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1q2me5kxsYhx_OG5nFtlWU-n_AUj4CF37,2025-03-12 - Link-finder-netlinking-optimierung - SEO.jpg,2025-03-12 - Link-finder-netlinking-optimierung - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1qkMZpo3r5udqPNDVkU4kxQzZIUfgneQL,2025-03-14 - Linkwhisper-optimisation-seo-maillage-interne - SEO.jpg,2025-03-14 - Linkwhisper-optimisation-seo-maillage-interne - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1qn_DCq7dnxrzl7zEgUmYugT1vEhx9_wz,2025-03-14 - Linkwhisper-tarifs-seo-maillage-interne - SEO.jpg,2025-03-14 - Linkwhisper-tarifs-seo-maillage-interne - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1Ka_gFRBOKqq2xNshguXNhv9mis_EMpr5,2025-08-21 - Linksgarden-avis-logo-plateforme-netlinking - SEO.png,2025-08-21 - Linksgarden-avis-logo-plateforme-netlinking - SEO.png,image/png,mixed_separators,medium,"Melange espaces, tirets et underscores"
1aSwsho1K8HC7toJaz9g-bDAURYDeH6E6,2025-08-21 - Linksgarden-avis-selection-sites-netlinking - SEO.jpg,2025-08-21 - Linksgarden-avis-selection-sites-netlinking - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1kJARe1sk97poaFgnWNvPBO2NII6LJoBs,2025-08-21 - Linksgarden-avis-thematiques-campagne-netlinking - SEO.jpg,2025-08-21 - Linksgarden-avis-thematiques-campagne-netlinking - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1khbXJddben9EruKqIFyypNM3d0HggilV,2025-08-29 - Linksgarden-review-netlinking-platform - SEO.jpg,2025-08-29 - Linksgarden-review-netlinking-platform - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1o-JFWjTx4zU0Qi_MTa17kqn9qvtbZxT1,2025-08-21 - Linksgarden-avis-plateforme-netlinking - SEO.jpg,2025-08-21 - Linksgarden-avis-plateforme-netlinking - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
1pAFiXoq6Bla1geGbXbYXCCycR2_-RsM8,2025-08-21 - Linksgarden-avis-interface-campagne-netlinking - SEO.jpg,2025-08-21 - Linksgarden-avis-interface-campagne-netlinking - SEO.jpg,image/jpeg,mixed_separators,medium,"Melange espaces, tirets et underscores"
