path,name,type,size,depth,mimeType,modified
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Autres/backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-others.zip",backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-others.zip,file,8055138,4,application/zip,2026-01-21T17:40:09.911Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Base de données",Base de données,folder,0,3,application/vnd.google-apps.folder,2026-01-21T17:34:29.988Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Base de données/backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-db.gz",backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-db.gz,file,2264183,4,application/x-gzip,2026-01-21T17:34:05.709Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Extensions",Extensions,folder,0,3,application/vnd.google-apps.folder,2026-01-21T17:36:22.803Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Extensions Indispensables",Extensions Indispensables,folder,0,3,application/vnd.google-apps.folder,2026-01-21T17:39:35.960Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Extensions Indispensables/backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-mu-plugins.zip",backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-mu-plugins.zip,file,882,4,application/zip,2026-01-21T17:39:14.068Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Extensions/backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-plugins.zip",backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-plugins.zip,file,48009063,4,application/zip,2026-01-21T17:35:41.734Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Thèmes",Thèmes,folder,0,3,application/vnd.google-apps.folder,2026-01-21T17:38:57.313Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Thèmes/backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-themes.zip",backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-themes.zip,file,2750396,4,application/zip,2026-01-21T17:37:08.637Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Téléversements",Téléversements,folder,0,3,application/vnd.google-apps.folder,2026-01-21T17:38:38.936Z
"02_PROJETS/Mon Mini Electro/Jan 21, 2026 1808/Téléversements/backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-uploads.zip",backup_2026-01-21-1808_Mon_Mini_Electro_Comparatif__f72385bf9115-uploads.zip,file,10170139,4,application/zip,2026-01-21T17:38:26.724Z
02_PROJETS/Mon Mini Electro/mon-mini-electro.com,mon-mini-electro.com,file,1024,2,application/vnd.google-apps.spreadsheet,2024-02-02T09:28:36.980Z
02_PROJETS/Petit Papier Magique,Petit Papier Magique,folder,0,1,application/vnd.google-apps.folder,2025-12-27T15:41:21.579Z
02_PROJETS/Petit Papier Magique/01_Branding,01_Branding,folder,0,2,application/vnd.google-apps.folder,2025-12-27T15:41:32.143Z
02_PROJETS/Petit Papier Magique/02_SEO,02_SEO,folder,0,2,application/vnd.google-apps.folder,2025-12-27T15:41:38.552Z
02_PROJETS/Petit Papier Magique/03_Fiches produits,03_Fiches produits,folder,0,2,application/vnd.google-apps.folder,2025-12-27T15:41:48.556Z
02_PROJETS/Petit Papier Magique/04_Publicités,04_Publicités,folder,0,2,application/vnd.google-apps.folder,2025-12-27T15:41:56.174Z
02_PROJETS/Petit Papier Magique/99_ARCHIVES,99_ARCHIVES,folder,0,2,application/vnd.google-apps.folder,2025-12-27T15:42:03.132Z
02_PROJETS/Vanessa PIVEC,Vanessa PIVEC,folder,0,1,application/vnd.google-apps.folder,2025-12-27T16:00:10.513Z
02_PROJETS/schoolsWP,schoolsWP,folder,0,1,application/vnd.google-apps.folder,2025-12-27T15:40:10.318Z
02_PROJETS/schoolsWP/00_README – schoolsWP,00_README – schoolsWP,folder,0,2,application/vnd.google-apps.folder,2025-12-27T18:31:38.451Z
02_PROJETS/schoolsWP/00_README – schoolsWP/📘 README – schoolsWP,📘 README – schoolsWP,file,3093,3,application/vnd.google-apps.document,2025-12-27T18:32:31.887Z
02_PROJETS/schoolsWP/01_Stratégie,01_Stratégie,folder,0,2,application/vnd.google-apps.folder,2025-12-27T15:40:23.690Z
02_PROJETS/schoolsWP/01_Stratégie/2026-01-01 – Stratégie schoolsWP – Étude Marché.md,2026-01-01 – Stratégie schoolsWP – Étude Marché.md,file,19025,3,application/vnd.google-apps.document,2026-01-20T16:29:08.933Z
02_PROJETS/schoolsWP/01_Stratégie/schoolsWP - Espionner chaines Youtube,schoolsWP - Espionner chaines Youtube,file,75294,3,application/vnd.google-apps.spreadsheet,2026-01-28T09:08:05.817Z
02_PROJETS/schoolsWP/02_Contenus,02_Contenus,folder,0,2,application/vnd.google-apps.folder,2025-12-27T15:40:40.491Z
02_PROJETS/schoolsWP/02_Contenus/01_Backlog,01_Backlog,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:13:31.788Z
02_PROJETS/schoolsWP/02_Contenus/01_Backlog/Articles,Articles,folder,0,4,application/vnd.google-apps.folder,2025-12-27T22:07:16.130Z
02_PROJETS/schoolsWP/02_Contenus/01_Backlog/Articles/FR,FR,folder,0,5,application/vnd.google-apps.folder,2025-12-27T22:07:26.170Z
02_PROJETS/schoolsWP/02_Contenus/02_En_cours,02_En_cours,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:13:42.398Z
02_PROJETS/schoolsWP/02_Contenus/02_En_cours/Articles,Articles,folder,0,4,application/vnd.google-apps.folder,2025-12-27T22:07:55.204Z
02_PROJETS/schoolsWP/02_Contenus/02_En_cours/Articles/FR,FR,folder,0,5,application/vnd.google-apps.folder,2025-12-27T22:07:41.331Z
02_PROJETS/schoolsWP/02_Contenus/03_A_revoir,03_A_revoir,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:14:00.349Z
02_PROJETS/schoolsWP/02_Contenus/03_A_revoir/Articles,Articles,folder,0,4,application/vnd.google-apps.folder,2025-12-27T22:08:17.955Z
02_PROJETS/schoolsWP/02_Contenus/03_A_revoir/Articles/FR,FR,folder,0,5,application/vnd.google-apps.folder,2025-12-27T22:08:24.729Z
02_PROJETS/schoolsWP/02_Contenus/04_Publies,04_Publies,folder,0,3,application/vnd.google-apps.folder,2025-12-27T21:19:28.031Z
02_PROJETS/schoolsWP/02_Contenus/04_Publies/Articles,Articles,folder,0,4,application/vnd.google-apps.folder,2025-12-27T22:08:44.549Z
02_PROJETS/schoolsWP/02_Contenus/04_Publies/Articles/01_FR,01_FR,folder,0,5,application/vnd.google-apps.folder,2025-12-27T21:23:41.802Z
02_PROJETS/schoolsWP/02_Contenus/04_Publies/Articles/01_FR/2024-01-16 - systeme-io-avis - article - fr,2024-01-16 - systeme-io-avis - article - fr,file,5701,6,application/vnd.google-apps.document,2025-12-27T21:11:53.603Z
02_PROJETS/schoolsWP/02_Contenus/04_Publies/Articles/02_EN,02_EN,folder,0,5,application/vnd.google-apps.folder,2025-12-27T21:28:55.320Z
02_PROJETS/schoolsWP/02_Contenus/04_Publies/Articles/03_DE,03_DE,folder,0,5,application/vnd.google-apps.folder,2025-12-27T21:29:10.647Z
02_PROJETS/schoolsWP/02_Contenus/99_Archives,99_Archives,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:14:31.252Z
02_PROJETS/schoolsWP/03_SEO,03_SEO,folder,0,2,application/vnd.google-apps.folder,2025-12-27T18:09:30.457Z
02_PROJETS/schoolsWP/03_SEO/01_Keyword_Research,01_Keyword_Research,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:25:08.682Z
02_PROJETS/schoolsWP/03_SEO/02_Architecture_SEO,02_Architecture_SEO,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:26:25.140Z
02_PROJETS/schoolsWP/03_SEO/03_Optimisations,03_Optimisations,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:26:49.269Z
02_PROJETS/schoolsWP/03_SEO/04_Suivi_Performance,04_Suivi_Performance,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:27:05.562Z
02_PROJETS/schoolsWP/03_SEO/05_IA_&_LLM_SEO,05_IA_&_LLM_SEO,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:27:30.385Z
02_PROJETS/schoolsWP/03_SEO/99_Archives,99_Archives,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:27:42.720Z
02_PROJETS/schoolsWP/04_Assets,04_Assets,folder,0,2,application/vnd.google-apps.folder,2025-12-27T18:10:07.417Z
02_PROJETS/schoolsWP/04_Assets/01_Branding,01_Branding,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:37:33.528Z
02_PROJETS/schoolsWP/04_Assets/02_Images,02_Images,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:38:35.153Z
02_PROJETS/schoolsWP/04_Assets/03_Covers_&_Thumbnails,03_Covers_&_Thumbnails,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:38:48.488Z
02_PROJETS/schoolsWP/04_Assets/04_PDF,04_PDF,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:39:01.856Z
02_PROJETS/schoolsWP/04_Assets/99_Archives,99_Archives,folder,0,3,application/vnd.google-apps.folder,2025-12-27T18:39:14.225Z
02_PROJETS/schoolsWP/05_Automations,05_Automations,folder,0,2,application/vnd.google-apps.folder,2025-12-27T18:10:15.775Z
02_PROJETS/schoolsWP/06_Monetisation,06_Monetisation,folder,0,2,application/vnd.google-apps.folder,2025-12-27T18:10:24.266Z
02_PROJETS/schoolsWP/06_Monetisation/00_README – Monetisation schoolsWP,00_README – Monetisation schoolsWP,folder,0,3,application/vnd.google-apps.folder,2025-12-27T19:14:57.529Z
02_PROJETS/schoolsWP/06_Monetisation/00_README – Monetisation schoolsWP/📘 README – Monétisation schoolsWP,📘 README – Monétisation schoolsWP,file,3649,4,application/vnd.google-apps.document,2025-12-27T19:16:12.154Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation,01_Affiliation,folder,0,3,application/vnd.google-apps.folder,2025-12-27T19:03:36.429Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/00_README,00_README,folder,0,4,application/vnd.google-apps.folder,2025-12-27T19:19:37.482Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/00_README/📘 README – Affiliation schoolsWP,📘 README – Affiliation schoolsWP,file,3664,5,application/vnd.google-apps.document,2025-12-27T19:36:34.210Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires,01_Partenaires,folder,0,4,application/vnd.google-apps.folder,2025-12-27T19:19:50.024Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja,WPManageNinja,folder,0,5,application/vnd.google-apps.folder,2025-12-27T19:42:38.243Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/00_README – WPManageNinja,00_README – WPManageNinja,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:50:54.262Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/00_README – WPManageNinja/📘 README – Partenaire WPManageNinja,📘 README – Partenaire WPManageNinja,file,3811,7,application/vnd.google-apps.document,2025-12-27T19:52:12.418Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/01_Infos_Partenariat,01_Infos_Partenariat,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:43:59.197Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/02_Liens_Affilies,02_Liens_Affilies,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:45:27.073Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/03_Contenus_&_Pages,03_Contenus_&_Pages,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:47:05.345Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/04_Suivi_&_Notes,04_Suivi_&_Notes,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:47:24.706Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/05_Assets_Fournis,05_Assets_Fournis,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:48:03.433Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/WPManageNinja/99_Archives,99_Archives,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:48:39.419Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE,_PARTENAIRE_TEMPLATE,folder,0,5,application/vnd.google-apps.folder,2025-12-27T19:55:04.484Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/00_README – Partenaire,00_README – Partenaire,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:56:57.935Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/00_README – Partenaire/📘 README – Partenaire (Template),📘 README – Partenaire (Template),file,3458,7,application/vnd.google-apps.document,2025-12-27T20:00:28.039Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/01_Infos_Partenariat,01_Infos_Partenariat,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:57:13.881Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/02_Liens_Affilies,02_Liens_Affilies,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:57:48.495Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/03_Contenus_&_Pages,03_Contenus_&_Pages,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:57:58.983Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/04_Suivi_&_Notes,04_Suivi_&_Notes,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:58:24.354Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/05_Assets_Fournis,05_Assets_Fournis,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:58:41.646Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/01_Partenaires/_PARTENAIRE_TEMPLATE/99_Archives,99_Archives,folder,0,6,application/vnd.google-apps.folder,2025-12-27T19:58:53.681Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/02_Liens_&_Tracking,02_Liens_&_Tracking,folder,0,4,application/vnd.google-apps.folder,2025-12-27T19:20:02.165Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/03_Suivi_&_Performances,03_Suivi_&_Performances,folder,0,4,application/vnd.google-apps.folder,2025-12-27T19:20:13.889Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/04_Assets_Affiliation,04_Assets_Affiliation,folder,0,4,application/vnd.google-apps.folder,2025-12-27T19:20:24.733Z
02_PROJETS/schoolsWP/06_Monetisation/01_Affiliation/99_Archives,99_Archives,folder,0,4,application/vnd.google-apps.folder,2025-12-27T19:20:34.967Z
02_PROJETS/schoolsWP/06_Monetisation/02_Produits_&_Formations,02_Produits_&_Formations,folder,0,3,application/vnd.google-apps.folder,2025-12-27T19:04:58.249Z
02_PROJETS/schoolsWP/06_Monetisation/03_Campagnes,03_Campagnes,folder,0,3,application/vnd.google-apps.folder,2025-12-27T19:05:12.878Z
02_PROJETS/schoolsWP/06_Monetisation/04_Partenariats_Business,04_Partenariats_Business,folder,0,3,application/vnd.google-apps.folder,2025-12-27T19:05:56.748Z
02_PROJETS/schoolsWP/06_Monetisation/99_Archives,99_Archives,folder,0,3,application/vnd.google-apps.folder,2025-12-27T19:06:14.029Z
02_PROJETS/schoolsWP/06_Monetisation/✅ Checklist – Publication → Monétisation (schoolsWP),✅ Checklist – Publication → Monétisation (schoolsWP),file,3598,3,application/vnd.google-apps.document,2025-12-27T20:05:42.141Z
02_PROJETS/schoolsWP/07_Prompts,07_Prompts,folder,0,2,application/vnd.google-apps.folder,2026-01-17T22:28:09.700Z
02_PROJETS/schoolsWP/07_Prompts/01_ADMIN,01_ADMIN,folder,0,3,application/vnd.google-apps.folder,2026-01-17T22:28:37.021Z
02_PROJETS/schoolsWP/07_Prompts/01_ADMIN/01_Regles-et-Index (pour le document de règles et l'index/raccourcis),01_Regles-et-Index (pour le document de règles et l'index/raccourcis),folder,0,4,application/vnd.google-apps.folder,2026-01-17T22:30:13.234Z
02_PROJETS/schoolsWP/07_Prompts/01_ADMIN/01_Regles-et-Index (pour le document de règles et l'index/raccourcis)/📘 Nomenclature & règles de nommage — Prompts schoolsWP (Michaël KIHL),📘 Nomenclature & règles de nommage — Prompts schoolsWP (Michaël KIHL),file,8523,5,application/vnd.google-apps.document,2026-01-20T16:14:56.022Z
"02_PROJETS/schoolsWP/07_Prompts/01_ADMIN/02_Checklists-Qualite (pour SEO, email, prompt hygiene)","02_Checklists-Qualite (pour SEO, email, prompt hygiene)",folder,0,4,application/vnd.google-apps.folder,2026-01-17T22:30:58.089Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES,02_TEMPLATES,folder,0,3,application/vnd.google-apps.folder,2026-01-17T22:31:33.679Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/01_Editorial_SEO,01_Editorial_SEO,folder,0,4,application/vnd.google-apps.folder,2026-01-17T22:31:53.656Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/01_Editorial_SEO/01_DRAFT,01_DRAFT,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:43:26.439Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/01_Editorial_SEO/01_DRAFT/🤖 Prompt schoolsWP — Analyse d'Intention de Recherche (SERP-first),🤖 Prompt schoolsWP — Analyse d'Intention de Recherche (SERP-first),file,7475,6,application/vnd.google-apps.document,2026-02-02T10:14:46.979Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/01_Editorial_SEO/02_VALIDÉ,02_VALIDÉ,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:43:31.624Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/01_Editorial_SEO/03_LIVE,03_LIVE,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:43:37.014Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/01_Editorial_SEO/99_ARCHIVES,99_ARCHIVES,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:43:42.577Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/02_Email_CRM_FluentCRM,02_Email_CRM_FluentCRM,folder,0,4,application/vnd.google-apps.folder,2026-01-17T22:32:13.399Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/02_Email_CRM_FluentCRM/01_DRAFT,01_DRAFT,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:44:51.408Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/02_Email_CRM_FluentCRM/02_VALIDÉ,02_VALIDÉ,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:44:44.799Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/02_Email_CRM_FluentCRM/03_LIVE,03_LIVE,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:44:39.687Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/02_Email_CRM_FluentCRM/99_ARCHIVES,99_ARCHIVES,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:44:32.043Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/03_Conversion_Landing,03_Conversion_Landing,folder,0,4,application/vnd.google-apps.folder,2026-01-17T22:32:27.183Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/03_Conversion_Landing/01_DRAFT,01_DRAFT,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:45:15.629Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/03_Conversion_Landing/02_VALIDÉ,02_VALIDÉ,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:45:10.130Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/03_Conversion_Landing/03_LIVE,03_LIVE,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:45:05.718Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/03_Conversion_Landing/99_ARCHIVES,99_ARCHIVES,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:44:59.725Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/04_YouTube_Social,04_YouTube_Social,folder,0,4,application/vnd.google-apps.folder,2026-01-17T22:32:49.850Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/04_YouTube_Social/01_DRAFT,01_DRAFT,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:45:37.911Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/04_YouTube_Social/02_VALIDÉ,02_VALIDÉ,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:45:32.964Z
02_PROJETS/schoolsWP/07_Prompts/02_TEMPLATES/04_YouTube_Social/03_LIVE,03_LIVE,folder,0,5,application/vnd.google-apps.folder,2026-01-17T22:45:28.769Z
